word,review_flag,candidate_source,df_total,neg_count,neu_count,pos_count,pmi_neg,pmi_neu,pmi_pos,delta_pmi_pos_minus_neg,fisher_odds_ratio,fisher_p_value,bootstrap_ci_low,bootstrap_ci_high,bootstrap_ci_excludes_zero,direction,direction_stability,dominant_share,wilson_lower,wilson_upper,score_minus9_to9,bh_adjusted_p_value,survives_fdr,statistical_keep,statistical_reject_reasons
muzim,,deterministic,18,11,1,6,0.35438973054666967,-1.1661571877549104,0.08145112931889464,-0.272938601227775,0.7983281086729362,0.8063779620744413,-1.7915377082635264,1.0673420195314267,False,NEG,0.665,0.6111111111111112,0.3861904160223791,0.7969475342783638,-3,0.9937608305460478,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
sikhala,,deterministic,17,9,1,7,0.15892563661722647,-1.0859868390709266,0.36807235547030537,0.2091467188530789,1.1393892934713172,0.8035545800925201,-1.450261717806958,1.6625431906088861,False,POS,0.613,0.4117647058823529,0.2161105679021481,0.6399455735700021,-1,0.9937608305460478,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
ani,,rag_recovered,20,10,2,8,0.07504655827928453,-0.5772902325778375,0.3203756134390101,0.24532905515972558,1.1720858895705522,0.8117215251739843,-1.2150163744933367,1.5916246617488794,False,POS,0.639,0.4,0.21880653237281705,0.6134184992377469,-1,0.997741041359689,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
vako,,deterministic,105,54,12,39,0.08736627618834891,-0.6189093217795776,0.17314633627667142,0.08578006008832251,1.058530591126633,0.8317486776647935,-0.521868670594934,0.6458132578424147,False,POS,0.5915,0.37142857142857144,0.2850781078699818,0.4668546547689322,-1,1.0,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
vese,,deterministic,85,40,17,28,-0.037721371882665444,0.16976417921195175,0.005502276085596947,0.04322364796826239,1.0253863987635239,1.0,-0.7076123929066143,0.737359382686984,False,POS,0.5345,0.32941176470588235,0.23877773614216136,0.4347980877473385,-1,1.0,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
ine,,rag_recovered,72,39,8,25,0.16415279828077622,-0.6341125716117118,0.08298102876331459,-0.08117176951746163,0.9381587150788231,0.8983759654452568,-0.8377820275065815,0.618484645956878,False,NEG,0.5955,0.5416666666666666,0.4273986728598905,0.651713729423738,-2,1.0,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
vedu,,deterministic,54,29,7,18,0.1547398647035223,-0.40296005201552454,0.03173381765877625,-0.12300604704474605,0.9083379788165963,0.8816781276020305,-1.060550956961047,0.6737050043168307,False,NEG,0.612,0.5370370370370371,0.40605356021011496,0.6631009888201891,-2,1.0,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
yese,,deterministic,54,30,3,21,0.2028341529045674,-1.5024957255664386,0.24854520673192493,0.04571105382735752,1.0253179190751445,1.0,-0.7770594197673234,0.8110611549695553,False,POS,0.5355,0.3888888888888889,0.270419338291165,0.5221170146179233,-2,1.0,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
kwenyu,,deterministic,44,25,3,16,0.23697305112370515,-1.2100448317559103,0.15912546519880877,-0.07784758592489638,0.9368615384615384,0.8747724741987012,-1.0118508013097238,0.7488293476953684,False,NEG,0.584,0.5681818181818182,0.4222414699362943,0.703172765914822,-2,1.0,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
mukati,,deterministic,41,19,9,13,-0.04935607236606909,0.33122175924954345,-0.029687152376703274,0.01966891998936582,1.0020017388842832,1.0,-1.0514374237238324,0.9962073524903314,False,POS,0.518,0.3170731707317073,0.19564613898988575,0.4698419964434429,-1,1.0,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
